Russian,English
вскоре,soon
железо,iron
навстречу (+d),towards
обладать (i) (+inst),to possess
опасный,dangerous
полтора,one and a half
считаться (i),(+inst) to be considered; (c +inst) take into account
трудовой,"labour, work (adj)"
участвовать (i) (в +pr),to take part in
шея,neck
южный,southern
бросаться/броситься,"to rush, throw oneself"
всеобщий,general; universal
договор,agreement; treaty; contract
короткий,short
культурный,"cultured, civilized; cultural"
мягкий,soft; gentle
ой,o; oh (expressing surprise or fright)
развиваться/развиться,to develop
тянуть/по- (+a),"to pull, drag"
вечный,eternal
январь (m),January
обнаруживать/обнаружить (+a),to reveal; discover
особенный,"special, particular"
подготовка (к +d),preparation (for)
придумывать/придумать (+a),"to think up, invent"
редакция,editorial office; editing
собственность (f),property (something owned)
строго,strictly
убеждаться/убедиться (в +pr),"to convince oneself, become sure (of sth)"
угроза,threat
уничтожать/уничтожить (+a),to destroy; do away with
груз,load; cargo
здоровый,healthy
кольцо,ring (i.e. small hoop)
кончать/кончить (+a),to finish; graduate
мешок,"bag, sack"
мост,bridge
смена,changing; shift (e.g in factory); replacement
снимок,photograph
телега,cart
тип,"type; (coll) bloke, fellow"
торопиться/по-,"to hurry, be in a hurry"
физический,physical
весть (f),piece of news
водка,vodka
говориться (i),to be said
девять,nine
заканчивать/закончить (+a),to finish
круглый,round
мораль (f),"morals, morality; moral (of a story)"
немножко,"(coll) a little, a bit"
обида,"offence, insult"
обыкновенный,usual; ordinary
окончательно,"finally, definitively"
погодить (р),to wait a little
по-моему,in my opinion; as I would have it
помощник,assistant
пьяный,drunk
соединение,"joining, combination; joint, join (tech)"
толпа,crowd
ударять/ударить (+a),"to strike, hit"
хуже,worse
единый,"single, sole; united"
злой,"evil, wicked; bad-tempered, fierce"
назначение,appointment (to a post); purpose (for which sth is intended)
осень (f),autumn
пар,steam
полевой,field (adj)
читать/прочесть (+a),to read
собственно,"strictly, properly"
старинный,ancient
столовая (f) (adj),"dining-room; canteen, refectory"
сухой,dry
готовить/при- (+a),to prepare; to cook
держава,power (powerful country)
заставлять/заставить (+a +inf),"to force, compel (s.o. to do sth)"
колесо,wheel
лететь/по-,to fly
нечто,something (=что-то)
полагать (i),"to suppose, think"
пропасть (f),"precipice, abyss"
свежий,fresh
северный,"north, northern"
собирать/собрать (+a),"to gather, collect"
удивительный,"surprising, astonishing"
участник,participant
хозяйка,"owner, proprietress; hostess"
чей,whose
беспокоиться/о- (о +pr),"to worry, be worried (about)"
во-первых,"firstly, in the first place"
выражение,expression
горе,"grief, sorrow"
детство,childhood
доллар,dollar
доля,"portion, share; lot, fate"
итог,"sum, total"
коридор,corridor
ныне,now; today (=теперь)
признавать/признать,to admit; to recognize
среда,"Wednesday; environment, milieu"
училище,college (vocational)
бомба,bomb
бюро (indecl),office
высший,"highest, supreme"
дедушка (m),grandfather
действительность (f),reality; validity (of a document)
заседание,"meeting, conference, session"
ключ,"key; spring, source"
кресло,armchair
оставлять/оставить (+a),"to leave (sth), abandon"
останавливать/остановить (+a),to stop (sth)
отмечать/отметить (+a),"to mark, note, record, mention; to celebrate"
погода,weather
поступать/поступить,to act; (в +a) enter (organization)
режим,"regime; rules, regulations; diet"
решительно,"resolutely; definitely, absolutely"
сравнение,comparison
странно,strangely; it is strange
строгий,"strict, severe"
стыдно,it is shameful; (+d of person X) X is ashamed
танец,dance
больно,painfully; it is painful
добро,"good, good deeds; goods (coll)"
заключать/заключить (+a),to conclude; enclose; imprison
занавес,(heavy) curtain
когда-то,"at some time, at one time"
кончаться/кончиться,"to end, come to an end"
миллиард,"1,000,000,000 (American billion)"
нынешний,"present, present-day"
обстоятельство,circumstance
ох,"oh, ah (expressing regret, annoyance)"
переходить/перейти (+a or через +a),"to cross, go over"
привыкать/привыкнуть (к +d),to get used to; get into the habit of
присылать/прислать (+a),to send
противник,"opponent, adversary"
реальный,real; realistic
спичка,"match, match stick"
творческий,creative
торговля,trade
установка,installation; purpose
воздушный,air (adj)
всюду,everywhere
журналист,journalist
захватывать/захватить (+a),"to take, grasp; seize"
звание,title; calling
звонить/по- (+d),"to ring, telephone (s.o.)"
конкретный,"concrete, specific"
кричать/крикнуть,to shout
март,March (month)
множество,large number
отправлять/отправить (+a),to send off
противоречие,contradiction
резкий,sharp
сомнение,doubt
темп,"rate, speed"
труба,pipe
тюрьма,prison
внимательно,attentively
лишний,"extra, spare"
погибать/погибнуть,to perish
порог,threshold
прибывать/прибыть,to arrive (formal); (coll) increase
просьба,request
состояться (р),to take place
творчество,creative work
университет,university
академик,academician
битва,battle
взрослый,adult
капля,drop
контроль (m),checking
многое (n),much
непонятный,incomprehensible
нижний,lower
осуществление,carrying out
прогресс,progress
пункт,point
редкий,rare
содержать (i),to contain
уважение,respect
ужас,horror
цветной,coloured
шар,sphere
врать/со-,to tell lies; talk nonsense
дама,lady
демократия,democracy
деревянный,wooden
истина,truth
исчезать/исчезнуть,to vanish; disappear
каменный,stone (adj)
любимый,favourite
оттуда,from there
поведение,behaviour
вести/по- (+a),to lead
стоять/по-,to stand; p: to stand for a while
потребность (f),need
рукав,sleeve
соединённый,united
трудиться/по-,to labour
фамилия,surname
шуметь (i),to make a noise
активный,active
библиотека,library
ездить/по-,to travel
лезть/по-,to climb
образовывать/образовать (+a),to form
печка,stove
планета,planet
понятный,comprehensible
правило,rule
прозрачный,transparent
торговый,trade (adj)
шинель (f),greatcoat
шутить/по-,to joke
шутка,joke
ящик,"box, crate"
авторитет,authority
болеть (i),to be ill; to hurt
вечерний,evening (adj)
видный,eminent
внезапно,suddenly
гулять/по-,to take a walk; (coll) take time off
двенадцать,twelve
зверь (m),wild animal
звук,sound
звучать/про-,to sound
командовать (i) (+inst),to command (sth)
курить/по-,to smoke
непременно,without fail
низко,low
образовываться/образоваться,to be formed
означать (i),to mean
острый,sharp
питание,"feeding, food"
полоса,strip
святой,sacred; saint
середина,middle
случайно,by chance
сутки (f) (pl),24 hours
убегать/убежать,to run away
шапка,hat (without brim)
агрессия,aggression
благодаря (+d),thanks to
зло,evil
кругом,around
крыльцо,entrance steps; porch
нередко,often
обед,meal; dinner
поддержка,support
подъём,rise
причём,and furthermore
проект,project
сообщение,communication
сосед,neighbour
сущность (f),essence
твёрдо,firmly
цифра,"figure, number"
англичанин,Englishman
во-вторых,secondly
вооружение,arming; arms
восток,east
запах,smell
зимний,winter (adj)
карандаш,pencil
корова,cow
корпус,"corps; building; body, frame"
краска,paint
май,May
передача,transmission
ходить/по-,to walk about
походить (i) (на +a),to resemble
пояс,"belt, waist"
указывать/указать (+a or на +a),to point out
вряд ли,(it’s) unlikely
горизонт,horizon
жаль,it’s a pity
житель (m),inhabitant
задумываться/задуматься (о +pr/над +inst),"to think deeply, become thoughtful (about)"
изменять/изменить (+a),"to change, alter; (+d) betray"
минутка,moment
некогда,there’s no time; once
ответственность (f),responsibility
передняя,entrance hall
пост,post (job)
расстояние,distance
сведение,"information, reduction"
север,north
сердиться/рас- (на +a),to be angry (with)
совесть (f),conscience
традиция,tradition
фраза,phrase
чемодан,suitcase
голый,naked
защищать/защитить (+a),to defend
кафедра,department (university)
компания,company; group of friends
оборудование,equipment
покой,"peace, quiet"
почему-то,for some reason
смелый,"brave, bold"
спорить/по-,to argue
спорт,sport
успешно,successfully
фильм,film
безопасность (f),security
выпускать/выпустить (+a),to release
дисциплина,discipline
дышать/по- (+inst),to breathe
здорово,"(coll) splendid(ly), great healthily; (coll) hi!"
изображение,depiction
класть/положить (+a),to put
крепость (f),fortress; strength
несомненно,undoubtedly
окружать/окружить (+a +inst),to surround (sth with sth)
опускать/опустить (+a),"to lower, drop"
отлично,excellent(ly)
примерно,approximately
спустя (+a),later (= через)
строительный,construction (adj)
талант,talent
уставать/устать,to tire
юность (f),youth
браться/взяться (за +a),"to take hold of; start work on; to take up, get down to"
величина,size
возвращать/вернуть (+a),to return
зеркало,mirror
крыло,wing
лестница,staircase; ladder
определять/определить (+a),"to define, determine"
очередной,next; regular
пальто (n) (indecl),overcoat
папироса,cigarette
платье,dress
разбираться/разобраться (в +pr),to sort sth out; investigate; understand
пушка,cannon
получение,receiving
приятно,pleasant
посёлок,settlement
потеря,loss
пожар,fire
сердито,angrily
слух,hearing; rumour
снаряд,shell (mil)
сообщать/сообщить (+a +d),to communicate (sth to s.o.)
тесный,tight
экзамен,examination
благо,"good (thing), benefit; (coll) since, seeing that"
болото,marsh
внутри (+g),inside
выглядеть (i),to look
готовиться (i) (к +d),to prepare (for sth)
двигатель (m),"motor, engine"
добавлять/добавить (+a к +d),to add (sth to sth)
дрожать/за-,"to shiver, start shaking"
капиталист,capitalist
крепкий,strong
музыкальный,musical
нехорошо,not good
объявлять/объявить (+a or о +pr),"to declare, announce"
организм,organism
остаток,remainder
подобно (+d),similar (to)
покрывать/покрыть (+a +inst),to cover (sth with sth)
поп,priest (coll)
по-прежнему,as before
привычка,habit
соглашение,agreement
спор,argument
строка,line (of text)
тянуться/по-,to stretch; stretch os
увеличение,increase
ужасно,terribly
урожай,harvest
ценный,valuable
чисто,"purely, cleanly"
бегать/по-,to run around
бегать/с-,"to run there and back, run somewhere (and return)"
борода,beard
депутат,elected representative
заявление,announcement; application
коротко,"short, briefly"
напрасно,in vain
ночью,at night
охота,desire; hunting
пища,food
помещение,"accommodation, premises"
ровно,evenly; precisely
тайга,taiga (northern forest)
телеграмма,telegram
толстый,fat (adj)
транспорт,transport
бык,bull
выдерживать/выдержать (+a),to withstand
достигать/достигнуть (+g),"to achieve, reach"
вынимать/вынуть (+a),to take out
выполнение,carrying out
кожа,skin; leather
меньший,smaller
мол,he/she/they said
настолько,so much
неожиданный,unexpected
официальный,official
охотник,hunter
пламя (n),flame
понимание,understanding
протягивать/протянуть (+a),to stretch out
профессия,profession
сооружение,construction
спешить/по-,to hurry
сторож,watchman
ступать/ступить,to step
тревога,alarm
утверждать (i),"to affirm, maintain"
белоснежный,snow-white
бутылка,bottle
волноваться/вз-,to worry
давление,pressure
запад,west
колебание,hesitation
кровать (f),bed
механический,mechanical
мощность (f),power (of engine etc.)
направлять/направить (+a),to direct
подарок,"present, gift"
подлинный,genuine
поскольку,"since, because, in as far as"
превращение,conversion
профсоюз,trade union
разбивать/разбить (+a),"to break, smash"
сметь/по- (+inf),to dare
ствол,trunk (tree); barrel (gun)
уверенность (f),confidence
фонарь (m),lamp
верховный,supreme
взаимный,mutual
градус,degree (°)
допускать/допустить (+a к +d),to admit (s.o. to); assume; allow
заказ,order (for sth)
инициатива,initiative
лекция,lecture
мокрый,wet
моральный,moral
опытный,experienced
отдел,"section, department"
отдых,rest; holiday
отсутствие,absence
призыв,"call, appeal; call-up"
производительность (f),productivity
пятнадцать,fifteen
реакция,reaction
сказка,fairy-tale
сходить/сойти (с +g),to go down (from)
старушка,old woman
чудесный,wonderful
батарея,battery; radiator
бурный,stormy
велеть (i/p) (+d +inf),to order (s.o. to do sth)
главное (n) (adj),the main thing
гнать/по- (+a),"to drive; hunt, persecute, chase"
догадываться/догадаться,to guess; (+inf) have the sense to
завоёвывать/завоевать (+a),to conquer
изба,peasant cottage
инструмент,instrument; tool
купец,merchant
лёд,ice
мороз,frost
новость (f),piece of news
оборона,defence
освобождение,liberation
пахнуть (i) (+inst),to smell (of)
повесть (f),"story, novella"
подвиг,"feat, heroic deed"
прощаться/по- (с +inst),to say goodbye (to)
свыше,from above; (+g) more than
торчать (i),to stick out
выражать/выразить (+a),to express
жизненный,vital; life (adj)
знак,sign
кран,tap; crane
крестьянский,peasant (adj)
личность (f),personality; individual
масштаб,scale
мероприятие,measure; function (reception etc.)
охрана,protection; guard
посвящать/посвятить (+a +d),"to devote, dedicate (sth to sth/s.o.)"
присутствие,presence
пустяк,trifle
пятно,spot
располагать/расположить (+a),"to arrange, set out; ; win over; (+inst) to have available"
рождение,birth
сопротивление,resistance
угодно,to your liking
ужасный,terrible
флаг,flag
царский,tsar’s; tsarist
частность (f),detail
апрель (m),April
атака,attack
двое,two
девчонка,girl (coll)
достоинство,"merit, virtue; dignity; value"
европейский,European
ежели,if (obs or coll)
крестьянство,peasantry
медаль (f),medal
менять/по- (+a),to change
насчёт (+g),"about, concerning"
ничтожный,worthless
норма,norm
нужда,"want, need"
отделение,"department, section"
отчего,why
патриот,patriot
побывать (р) (в +pr),to visit (a place)
подписывать/подписать (+a),to sign
посуда,"crockery, dishes"
прекрасно,"fine, excellent(ly)"
пропаганда,propaganda
пулемёт,machine-gun
районный,"regional, district (adj)"
соревнование,competition
грубый,"coarse, rude"
участок,plot of land; district
бригада,"brigade, team"
коллектив,"group, team"
командир,commander
биться (i),to fight; to beat
гибель (f),"ruin, destruction"
густой,"thick, dense"
единство,unity
зритель (m),spectator
зря,"for nothing, pointlessly (coll)"
исходить (i) (из +g),"to issue from, proceed from"
молодость (f),youth
нищий,destitute; beggar
отправляться/отправиться,to set off
чувствовать/по- (+a),to feel
президиум,presidium
признак,"sign, indication"
дикий,wild
распоряжение,"instruction, command"
светиться (i),"to shine, gleam"
сеть (f),net; network
спасать/спасти (+a),to save
сумма,sum
социализм,socialism
заключаться (i) (в +pr),to consist of
мальчишка (m),"boy, small boy (coll)"
докладывать/доложить (о +pr),to report (on)
еле,"barely, only just"
женский,female
заниматься/заняться (+inst),to take up
изменяться/измениться,to change
искусственный,artificial
конференция,conference
куст,bush
мозг,brain
нация,nation
непрерывный,uninterrupted
обнимать/обнять (+a),to embrace
превращаться/превратиться (в +a),to turn into (sth)
самовар,samovar
сверху,from above
шёпот,whisper
абсолютный,absolute
борец,fighter; wrestler
выигрыш,win
горячо,hot(ly)
жестокий,cruel
заместитель (m),"deputy, substitute"
клетка,cage; cell (biol)
неизвестно,(it is) unknown
неизвестный,unknown
обязанность (f),"duty, obligation"
пустыня,desert
путешествие,"journey, voyage"
рассчитывать/рассчитать (на +a/+inf),to calculate; expect; rely on
ремонт,repair; redecoration
слева,on the left
суровый,harsh
таков,such [pronoun]
ус,whisker
фашистский,Fascist (adj)
частный,"private, individual (adj)"
чемпион,champion
ага,"ah (yes), aha"
арестовывать/арестовать (+a),to arrest
беречь (i) (+a),to look after
билет,ticket
везде,everywhere
великолепный,magnificent
возбуждение,"excitement, arousal"
вступать/вступить (в +a),"to enter, join (organization)"
выпуск,output; issue
грех,sin
грязный,dirty
дочка,daughter (intimate form)
изготовление,manufacture
исключительно,exclusively; exceptionally
кое-что,"something, a thing or two"
критика,criticism
надпись (f),inscription
обращение (к +d),appeal (to); (c +inst) treatment; circulation
оттого,for that reason
плавать/по-,to swim; sail
поездка,"journey, trip"
пожилой,elderly
полиция,police
прочный,"firm, solid"
ружьё,"gun, rifle"
рыжий,red-haired
сахар,sugar
служащий (m) (adj),"office worker, white-collar worker"
справа,on the right
туча,storm cloud
устройство,organization; mechanism
утром,in the morning
благородный,noble
буря,"storm, gale"
вино,wine
возникать/возникнуть,to arise
вытаскивать/вытащить (+a из +g),"to drag out, pull out (from)"
гигантский,giant (adj)
жаловаться/по- (на +a),to complain (about)
заменять/заменить (+a +inst),to replace (sth with sth)
лично,personally
молодец,fine fellow; well done!
навсегда,for ever
надевать/надеть (+a),to put on (clothing etc.)
объяснять/объяснить (+a),to explain
поворачивать/повернуть (+a),to turn
производить/произвести (+a),to produce
стучать/по- (в +a),to knock (at)
экспедиция,expedition
батюшка (m),father
вооружённый,armed
выстрел,shot
гарантировать (i/p) (+a),to guarantee
